length,thickness,minR,meanR,maxR,minG,meanG,maxG,minB,meanB,maxB;
13,3,40,85,116,40,85,116,40,85,116;
12,3,16,52,92,16,52,92,16,52,92;
8,3,34,53,77,34,53,77,34,53,77;
12,3,33,59,96,33,59,96,33,59,96;
31,4,6,65,120,6,65,120,6,65,120;
19,4,9,59,94,9,59,94,9,59,94;
12,3,12,41,81,12,41,81,12,41,81;
12,5,3,25,77,3,25,77,3,25,77;
16,3,12,63,100,12,63,100,12,63,100;
13,3,15,48,104,15,48,104,15,48,104;
33,4,8,58,106,8,58,106,8,58,106;
13,4,13,47,110,13,47,110,13,47,110;
11,3,16,61,107,16,61,107,16,61,107;
15,3,19,64,114,19,64,114,19,64,114;
11,4,6,28,73,6,28,73,6,28,73;
15,5,1,23,56,1,23,56,1,23,56;
14,4,3,27,60,3,27,60,3,27,60;
31,14,5,52,116,5,52,116,5,52,116;
4,3,54,104,163,54,104,163,54,104,163;
16,4,1,16,44,1,16,44,1,16,44;
13,3,17,69,110,17,69,110,17,69,110;
11,3,65,114,179,65,114,179,65,114,179;
11,2,25,49,69,25,49,69,25,49,69;
13,2,55,117,172,55,117,172,55,117,172;
15,3,12,66,109,12,66,109,12,66,109;
29,4,6,54,108,6,54,108,6,54,108;
11,2,43,78,112,43,78,112,43,78,112;
11,3,31,70,119,31,70,119,31,70,119;
12,2,36,74,106,36,74,106,36,74,106;
16,4,3,25,57,3,25,57,3,25,57;
24,4,1,33,68,1,33,68,1,33,68;
24,4,2,34,68,2,34,68,2,34,68;
23,4,3,36,94,3,36,94,3,36,94;
14,4,16,78,106,16,78,106,16,78,106;
12,3,31,84,105,31,84,105,31,84,105;
10,3,29,80,107,29,80,107,29,80,107;
12,4,13,67,103,13,67,103,13,67,103;
12,4,7,29,73,7,29,73,7,29,73;
9,3,24,55,93,24,55,93,24,55,93;
12,3,26,58,105,26,58,105,26,58,105;
15,5,2,26,69,2,26,69,2,26,69;
30,4,1,49,106,1,49,106,1,49,106;
9,3,25,45,78,25,45,78,25,45,78;
23,4,7,54,104,7,54,104,7,54,104;
11,2,37,94,124,37,94,124,37,94,124;
31,4,2,36,97,2,36,97,2,36,97;
12,4,15,47,94,15,47,94,15,47,94;
16,3,19,72,113,19,72,113,19,72,113;
15,5,1,25,70,1,25,70,1,25,70;
18,4,22,69,107,22,69,107,22,69,107;
32,4,2,45,111,2,45,111,2,45,111;
11,3,35,71,99,35,71,99,35,71,99;
8,4,29,75,105,29,75,105,29,75,105;
12,4,21,69,104,21,69,104,21,69,104;
13,4,6,28,80,6,28,80,6,28,80;
10,2,37,68,106,37,68,106,37,68,106;
14,3,17,55,89,17,55,89,17,55,89;
31,3,6,60,124,6,60,124,6,60,124;
12,4,24,57,88,24,57,88,24,57,88;
11,2,49,108,164,49,108,164,49,108,164;
9,3,26,77,102,26,77,102,26,77,102;
15,2,29,95,159,29,95,159,29,95,159;
11,3,27,71,91,27,71,91,27,71,91;
10,2,24,66,98,24,66,98,24,66,98;
11,1,53,97,143,53,97,143,53,97,143;
11,4,6,27,71,6,27,71,6,27,71;
13,4,29,79,121,29,79,121,29,79,121;
11,2,65,117,172,65,117,172,65,117,172;
10,3,5,27,57,5,27,57,5,27,57;
13,2,39,107,166,39,107,166,39,107,166;
11,2,49,119,169,49,119,169,49,119,169;
8,1,65,87,105,65,87,105,65,87,105;
28,3,7,92,188,7,92,188,7,92,188;
22,3,4,58,114,4,58,114,4,58,114;
13,0,1,8,23,1,8,23,1,8,23;
16,5,2,21,58,2,21,58,2,21,58;
17,5,2,18,63,2,18,63,2,18,63;
19,5,3,24,71,3,24,71,3,24,71;
9,1,1,11,30,1,11,30,1,11,30;
24,4,1,44,103,1,44,103,1,44,103;
25,5,3,50,102,3,50,102,3,50,102;
25,5,4,47,102,4,47,102,4,47,102;
11,3,9,41,76,9,41,76,9,41,76;
30,5,2,46,110,2,46,110,2,46,110;
10,3,18,51,89,18,51,89,18,51,89;
17,3,24,65,106,24,65,106,24,65,106;
13,5,1,24,86,1,24,86,1,24,86;
10,2,19,64,100,19,64,100,19,64,100;
17,3,21,70,115,21,70,115,21,70,115;
12,4,1,11,33,1,11,33,1,11,33;
10,3,46,71,103,46,71,103,46,71,103;
9,2,28,67,95,28,67,95,28,67,95;
14,2,25,77,127,25,77,127,25,77,127;
35,7,1,45,123,1,45,123,1,45,123;
23,5,23,75,129,23,75,129,23,75,129;
14,2,20,59,98,20,59,98,20,59,98;
30,4,1,51,111,1,51,111,1,51,111;
10,2,55,79,107,55,79,107,55,79,107;
13,2,32,68,102,32,68,102,32,68,102;
12,3,23,73,114,23,73,114,23,73,114;
11,4,2,20,53,2,20,53,2,20,53;
14,4,17,55,104,17,55,104,17,55,104;
12,3,19,51,90,19,51,90,19,51,90;
