length,thickness,minR,meanR,maxR,minG,meanG,maxG,minB,meanB,maxB;
23,5,3,42,81,3,42,81,3,42,81;
24,5,6,45,101,6,45,101,6,45,101;
24,6,6,45,97,6,45,97,6,45,97;
26,5,2,45,81,2,45,81,2,45,81;
24,5,4,45,86,4,45,86,4,45,86;
25,5,5,37,74,5,37,74,5,37,74;
25,5,6,44,87,6,44,87,6,44,87;
25,5,3,39,81,3,39,81,3,39,81;
24,5,3,33,71,3,33,71,3,33,71;
25,5,4,30,78,4,30,78,4,30,78;
24,5,8,47,85,8,47,85,8,47,85;
24,6,6,34,80,6,34,80,6,34,80;
25,6,8,51,101,8,51,101,8,51,101;
24,5,5,49,96,5,49,96,5,49,96;
29,7,3,29,129,3,29,129,3,29,129;
25,5,5,31,78,5,31,78,5,31,78;
25,5,5,41,93,5,41,93,5,41,93;
26,5,4,27,84,4,27,84,4,27,84;
25,5,4,48,90,4,48,90,4,48,90;
26,5,6,42,91,6,42,91,6,42,91;
26,6,5,54,98,5,54,98,5,54,98;
26,5,4,44,87,4,44,87,4,44,87;
25,6,3,27,64,3,27,64,3,27,64;
25,5,5,51,100,5,51,100,5,51,100;
26,6,3,29,73,3,29,73,3,29,73;
37,20,3,33,95,3,33,95,3,33,95;
8,3,24,91,183,24,91,183,24,91,183;
23,6,3,49,98,3,49,98,3,49,98;
21,5,7,49,97,7,49,97,7,49,97;
23,5,6,48,99,6,48,99,6,48,99;
27,5,5,49,100,5,49,100,5,49,100;
23,5,4,47,100,4,47,100,4,47,100;
25,5,8,50,94,8,50,94,8,50,94;
23,5,8,49,97,8,49,97,8,49,97;
24,5,7,49,99,7,49,99,7,49,99;
25,5,6,47,96,6,47,96,6,47,96;
24,5,3,48,98,3,48,98,3,48,98;
24,5,4,47,97,4,47,97,4,47,97;
25,5,5,48,99,5,48,99,5,48,99;
23,5,5,48,99,5,48,99,5,48,99;
25,5,6,48,101,6,48,101,6,48,101;
22,5,4,47,95,4,47,95,4,47,95;
25,5,10,49,96,10,49,96,10,49,96;
23,5,5,46,98,5,46,98,5,46,98;
22,5,6,47,97,6,47,97,6,47,97;
25,5,5,48,98,5,48,98,5,48,98;
23,5,4,46,97,4,46,97,4,46,97;
26,5,2,47,100,2,47,100,2,47,100;
22,6,3,24,64,3,24,64,3,24,64;
22,6,11,51,90,11,51,90,11,51,90;
22,6,10,50,91,10,50,91,10,50,91;
22,6,4,21,44,4,21,44,4,21,44;
23,5,2,24,67,2,24,67,2,24,67;
22,5,4,29,76,4,29,76,4,29,76;
23,5,3,36,85,3,36,85,3,36,85;
23,4,8,45,95,8,45,95,8,45,95;
23,4,6,42,92,6,42,92,6,42,92;
23,5,8,47,91,8,47,91,8,47,91;
23,5,8,55,100,8,55,100,8,55,100;
23,4,3,40,81,3,40,81,3,40,81;
23,5,6,46,86,6,46,86,6,46,86;
23,5,5,34,73,5,34,73,5,34,73;
23,5,4,26,53,4,26,53,4,26,53;
22,6,1,27,66,1,27,66,1,27,66;
22,5,9,54,105,9,54,105,9,54,105;
23,6,3,27,69,3,27,69,3,27,69;
23,6,8,52,102,8,52,102,8,52,102;
22,6,1,23,73,1,23,73,1,23,73;
23,5,9,55,98,9,55,98,9,55,98;
34,20,5,54,134,5,54,134,5,54,134;
23,5,6,38,80,6,38,80,6,38,80;
22,5,2,37,86,2,37,86,2,37,86;
21,5,3,34,87,3,34,87,3,34,87;
21,5,7,40,84,7,40,84,7,40,84;
26,5,1,36,82,1,36,82,1,36,82;
23,6,3,37,86,3,37,86,3,37,86;
23,6,4,37,80,4,37,80,4,37,80;
24,6,6,40,81,6,40,81,6,40,81;
24,5,6,40,86,6,40,86,6,40,86;
24,5,8,40,80,8,40,80,8,40,80;
24,5,4,40,82,4,40,82,4,40,82;
23,5,5,40,81,5,40,81,5,40,81;
24,5,6,40,83,6,40,83,6,40,83;
23,5,4,42,81,4,42,81,4,42,81;
24,6,6,41,83,6,41,83,6,41,83;
24,6,1,37,82,1,37,82,1,37,82;
23,5,3,37,84,3,37,84,3,37,84;
23,5,1,37,84,1,37,84,1,37,84;
24,5,2,38,83,2,38,83,2,38,83;
24,6,3,37,84,3,37,84,3,37,84;
22,5,2,37,82,2,37,82,2,37,82;
26,5,1,39,82,1,39,82,1,39,82;
24,5,3,34,85,3,34,85,3,34,85;
23,6,5,31,76,5,31,76,5,31,76;
23,6,8,49,85,8,49,85,8,49,85;
22,5,7,49,88,7,49,88,7,49,88;
22,6,4,28,63,4,28,63,4,28,63;
23,6,1,28,71,1,28,71,1,28,71;
23,6,2,19,43,2,19,43,2,19,43;
23,5,3,37,85,3,37,85,3,37,85;
24,5,2,24,64,2,24,64,2,24,64;
23,5,4,35,76,4,35,76,4,35,76;
23,5,3,41,92,3,41,92,3,41,92;
24,6,3,23,77,3,23,77,3,23,77;
24,5,3,41,93,3,41,93,3,41,93;
23,5,4,54,98,4,54,98,4,54,98;
23,5,2,41,82,2,41,82,2,41,82;
24,5,4,44,87,4,44,87,4,44,87;
23,5,2,33,71,2,33,71,2,33,71;
24,5,1,25,51,1,25,51,1,25,51;
24,6,4,47,88,4,47,88,4,47,88;
23,6,1,26,65,1,26,65,1,26,65;
23,5,3,52,101,3,52,101,3,52,101;
24,6,3,50,106,3,50,106,3,50,106;
23,5,4,49,97,4,49,97,4,49,97;
25,5,6,54,90,6,54,90,6,54,90;
23,5,1,25,59,1,25,59,1,25,59;
23,5,2,24,58,2,24,58,2,24,58;
23,5,4,25,57,4,25,57,4,25,57;
26,5,4,27,57,4,27,57,4,27,57;
22,5,3,25,59,3,25,59,3,25,59;
24,6,3,25,59,3,25,59,3,25,59;
24,5,3,26,57,3,26,57,3,26,57;
24,5,4,27,58,4,27,58,4,27,58;
25,5,4,26,55,4,26,55,4,26,55;
23,5,4,27,56,4,27,56,4,27,56;
24,5,3,28,59,3,28,59,3,28,59;
25,5,3,26,57,3,26,57,3,26,57;
23,5,2,27,56,2,27,56,2,27,56;
25,5,3,26,57,3,26,57,3,26,57;
22,5,2,26,58,2,26,58,2,26,58;
26,5,1,25,58,1,25,58,1,25,58;
25,5,3,26,57,3,26,57,3,26,57;
23,6,4,25,57,4,25,57,4,25,57;
23,5,3,25,56,3,25,56,3,25,56;
26,5,3,26,57,3,26,57,3,26,57;
23,6,4,25,57,4,25,57,4,25,57;
23,6,2,25,57,2,25,57,2,25,57;
27,6,3,30,74,3,30,74,3,30,74;
24,6,3,29,80,3,29,80,3,29,80;
23,5,3,26,71,3,26,71,3,26,71;
23,4,4,42,96,4,42,96,4,42,96;
23,6,3,26,66,3,26,66,3,26,66;
22,6,7,32,64,7,32,64,7,32,64;
23,6,5,31,72,5,31,72,5,31,72;
23,6,3,20,46,3,20,46,3,20,46;
23,5,8,55,93,8,55,93,8,55,93;
36,20,4,40,147,4,40,147,4,40,147;
24,4,3,32,64,3,32,64,3,32,64;
23,5,2,23,66,2,23,66,2,23,66;
23,5,5,37,75,5,37,75,5,37,75;
24,4,4,43,94,4,43,94,4,43,94;
24,5,6,49,87,6,49,87,6,49,87;
25,5,3,46,91,3,46,91,3,46,91;
23,5,6,56,102,6,56,102,6,56,102;
24,4,4,40,84,4,40,84,4,40,84;
23,5,5,44,91,5,44,91,5,44,91;
23,5,3,34,71,3,34,71,3,34,71;
24,4,2,25,53,2,25,53,2,25,53;
23,5,5,49,90,5,49,90,5,49,90;
23,5,6,52,103,6,52,103,6,52,103;
24,6,6,53,104,6,53,104,6,53,104;
24,5,5,53,95,5,53,95,5,53,95;
26,7,7,34,157,7,34,157,7,34,157;
25,5,5,43,93,5,43,93,5,43,93;
23,4,4,37,88,4,37,88,4,37,88;
22,4,7,35,63,7,35,63,7,35,63;
22,4,5,39,86,5,39,86,5,39,86;
26,5,4,42,95,4,42,95,4,42,95;
23,4,3,37,88,3,37,88,3,37,88;
24,5,7,39,86,7,39,86,7,39,86;
24,5,5,42,93,5,42,93,5,42,93;
23,5,5,43,95,5,43,95,5,43,95;
24,5,5,39,92,5,39,92,5,39,92;
22,5,5,41,95,5,41,95,5,41,95;
24,5,4,41,92,4,41,92,4,41,92;
26,5,2,38,90,2,38,90,2,38,90;
23,5,2,41,95,2,41,95,2,41,95;
26,5,4,39,91,4,39,91,4,39,91;
24,5,4,39,91,4,39,91,4,39,91;
25,5,3,39,90,3,39,90,3,39,90;
25,5,7,38,82,7,38,82,7,38,82;
23,5,5,37,95,5,37,95,5,37,95;
23,4,6,37,84,6,37,84,6,37,84;
26,5,3,40,94,3,40,94,3,40,94;
25,5,3,37,90,3,37,90,3,37,90;
23,4,3,37,85,3,37,85,3,37,85;
22,5,4,43,95,4,43,95,4,43,95;
24,6,8,48,89,8,48,89,8,48,89;
24,6,6,52,103,6,52,103,6,52,103;
25,5,4,37,84,4,37,84,4,37,84;
25,5,4,25,65,4,25,65,4,25,65;
25,6,6,32,78,6,32,78,6,32,78;
24,5,5,36,73,5,36,73,5,36,73;
25,5,4,41,91,4,41,91,4,41,91;
24,5,4,26,85,4,26,85,4,26,85;
25,6,5,48,86,5,48,86,5,48,86;
25,4,4,40,92,4,40,92,4,40,92;
24,5,4,44,87,4,44,87,4,44,87;
24,6,4,56,99,4,56,99,4,56,99;
25,4,4,40,80,4,40,80,4,40,80;
25,5,4,44,84,4,44,84,4,44,84;
24,5,1,33,72,1,33,72,1,33,72;
25,4,5,29,78,5,29,78,5,29,78;
25,6,3,27,65,3,27,65,3,27,65;
24,5,4,52,100,4,52,100,4,52,100;
24,6,9,33,81,9,33,81,9,33,81;
25,6,4,29,73,4,29,73,4,29,73;
24,5,5,49,95,5,49,95,5,49,95;
25,5,4,22,45,4,22,45,4,22,45;
24,5,4,49,92,4,49,92,4,49,92;
27,5,13,49,78,13,49,78,13,49,78;
26,6,7,32,71,7,32,71,7,32,71;
24,6,5,52,96,5,52,96,5,52,96;
24,6,4,50,98,4,50,98,4,50,98;
21,5,7,48,100,7,48,100,7,48,100;
22,6,7,53,98,7,53,98,7,53,98;
27,6,4,50,99,4,50,99,4,50,99;
23,6,4,51,95,4,51,95,4,51,95;
24,6,7,50,98,7,50,98,7,50,98;
24,6,12,55,95,12,55,95,12,55,95;
