length,thickness,minR,meanR,maxR,minG,meanG,maxG,minB,meanB,maxB;
13,5,2,34,77,2,34,77,2,34,77;
15,4,3,23,68,3,23,68,3,23,68;
31,14,3,53,124,3,53,124,3,53,124;
27,4,5,67,124,5,67,124,5,67,124;
28,5,5,63,121,5,63,121,5,63,121;
25,3,4,45,108,4,45,108,4,45,108;
19,4,5,38,91,5,38,91,5,38,91;
18,4,3,38,87,3,38,87,3,38,87;
22,4,9,47,93,9,47,93,9,47,93;
15,4,3,27,68,3,27,68,3,27,68;
31,15,2,41,92,2,41,92,2,41,92;
15,4,8,32,76,8,32,76,8,32,76;
21,4,8,34,77,8,34,77,8,34,77;
24,4,6,38,86,6,38,86,6,38,86;
23,4,4,34,79,4,34,79,4,34,79;
19,4,8,29,70,8,29,70,8,29,70;
16,4,2,35,75,2,35,75,2,35,75;
15,4,9,61,101,9,61,101,9,61,101;
23,4,12,47,95,12,47,95,12,47,95;
21,5,7,45,89,7,45,89,7,45,89;
16,4,10,39,90,10,39,90,10,39,90;
20,4,9,39,80,9,39,80,9,39,80;
22,5,4,39,87,4,39,87,4,39,87;
21,4,9,50,94,9,50,94,9,50,94;
19,3,13,68,124,13,68,124,13,68,124;
17,4,4,27,71,4,27,71,4,27,71;
17,5,1,18,48,1,18,48,1,18,48;
19,5,4,36,85,4,36,85,4,36,85;
16,4,3,25,57,3,25,57,3,25,57;
17,4,4,44,87,4,44,87,4,44,87;
18,4,7,40,69,7,40,69,7,40,69;
25,4,1,44,95,1,44,95,1,44,95;
17,5,6,36,79,6,36,79,6,36,79;
26,3,2,51,107,2,51,107,2,51,107;
29,5,3,53,108,3,53,108,3,53,108;
16,4,3,26,53,3,26,53,3,26,53;
21,4,8,38,83,8,38,83,8,38,83;
20,4,3,44,86,3,44,86,3,44,86;
15,4,3,21,53,3,21,53,3,21,53;
20,4,7,38,90,7,38,90,7,38,90;
28,4,2,46,95,2,46,95,2,46,95;
24,4,6,43,91,6,43,91,6,43,91;
18,4,5,28,63,5,28,63,5,28,63;
21,3,5,30,57,5,30,57,5,30,57;
17,4,20,61,111,20,61,111,20,61,111;
17,5,4,28,80,4,28,80,4,28,80;
20,4,9,39,81,9,39,81,9,39,81;
14,4,6,38,86,6,38,86,6,38,86;
22,6,4,48,159,4,48,159,4,48,159;
26,5,3,50,102,3,50,102,3,50,102;
23,5,4,51,99,4,51,99,4,51,99;
18,5,7,37,79,7,37,79,7,37,79;
20,4,5,31,65,5,31,65,5,31,65;
17,4,1,29,90,1,29,90,1,29,90;
18,5,2,28,87,2,28,87,2,28,87;
18,4,17,62,103,17,62,103,17,62,103;
19,5,4,35,81,4,35,81,4,35,81;
34,16,9,52,127,9,52,127,9,52,127;
21,4,13,52,103,13,52,103,13,52,103;
23,5,5,43,83,5,43,83,5,43,83;
19,4,11,34,65,11,34,65,11,34,65;
21,4,7,35,82,7,35,82,7,35,82;
19,4,28,72,117,28,72,117,28,72,117;
17,4,9,39,92,9,39,92,9,39,92;
15,5,1,14,54,1,14,54,1,14,54;
16,5,1,23,66,1,23,66,1,23,66;
15,4,7,31,79,7,31,79,7,31,79;
21,4,12,42,88,12,42,88,12,42,88;
22,4,2,39,85,2,39,85,2,39,85;
26,5,4,69,120,4,69,120,4,69,120;
19,5,1,36,81,1,36,81,1,36,81;
27,4,6,82,121,6,82,121,6,82,121;
29,5,4,85,124,4,85,124,4,85,124;
17,4,7,52,90,7,52,90,7,52,90;
16,4,5,25,63,5,25,63,5,25,63;
15,6,5,27,80,5,27,80,5,27,80;
15,4,33,79,124,33,79,124,33,79,124;
19,4,5,67,129,5,67,129,5,67,129;
18,5,5,36,96,5,36,96,5,36,96;
20,4,5,37,89,5,37,89,5,37,89;
6,2,23,36,62,23,36,62,23,36,62;
28,4,11,81,151,11,81,151,11,81,151;
28,5,9,72,129,9,72,129,9,72,129;
14,5,12,59,105,12,59,105,12,59,105;
16,4,10,48,83,10,48,83,10,48,83;
22,4,14,56,98,14,56,98,14,56,98;
15,4,12,47,85,12,47,85,12,47,85;
15,4,7,52,102,7,52,102,7,52,102;
19,5,8,52,114,8,52,114,8,52,114;
23,4,11,65,120,11,65,120,11,65,120;
21,4,2,60,111,2,60,111,2,60,111;
17,5,11,52,86,11,52,86,11,52,86;
18,4,2,40,88,2,40,88,2,40,88;
17,4,10,60,112,10,60,112,10,60,112;
16,4,7,52,83,7,52,83,7,52,83;
13,4,5,30,68,5,30,68,5,30,68;
14,5,2,37,65,2,37,65,2,37,65;
5,4,21,31,72,21,31,72,21,31,72;
29,13,9,48,122,9,48,122,9,48,122;
17,3,12,49,93,12,49,93,12,49,93;
25,4,5,45,112,5,45,112,5,45,112;
17,5,10,51,102,10,51,102,10,51,102;
18,4,10,50,105,10,50,105,10,50,105;
17,4,13,69,126,13,69,126,13,69,126;
14,4,3,22,48,3,22,48,3,22,48;
11,1,1,13,38,1,13,38,1,13,38;
19,4,1,31,76,1,31,76,1,31,76;
28,13,10,35,79,10,35,79,10,35,79;
19,4,12,54,98,12,54,98,12,54,98;
15,5,1,13,40,1,13,40,1,13,40;
4,3,5,12,26,5,12,26,5,12,26;
18,4,24,75,125,24,75,125,24,75,125;
15,5,8,42,86,8,42,86,8,42,86;
20,4,7,40,100,7,40,100,7,40,100;
28,5,1,46,92,1,46,92,1,46,92;
15,4,5,32,88,5,32,88,5,32,88;
